0.17,17,-61.880000,7.340000
0.17,17,-57.190000,7.930000
0.17,17,-61.380000,7.870000
0.17,17,-58.030000,7.510000
0.17,17,-61.730000,6.720000
0.27,0,-65.100000,7.480000
0.27,0,-62.860000,2.710000
0.27,0,-61.780000,7.520000
0.27,0,-66.280000,7.600000
0.27,0,-63.540000,7.760000
0.43,2,-73.740000,4.340000
0.43,2,-71.480000,6.010000
0.43,2,-72.220000,7.180000
0.43,2,-72.060000,7.410000
0.43,2,-71.450000,7.700000
0.47,-1,-74.850000,7.390000
0.47,-1,-74.430000,6.720000
0.47,-1,-73.230000,6.590000
0.47,-1,-73.470000,7.230000
0.47,-1,-71.970000,7.050000
0.52,1,-78.660000,7.280000
0.52,1,-77.430000,5.780000
0.52,1,-75.810000,7.150000
0.52,1,-76.750000,6.770000
0.52,1,-75.860000,8.390000
0.59,1,-79.700000,7.350000
0.59,1,-79.000000,7.290000
0.59,1,-74.300000,7.460000
0.59,1,-73.430000,6.690000
0.59,1,-76.890000,6.840000
0.65,7,-93.100000,1.410000
0.65,7,-92.910000,1.370000
0.65,7,-92.650000,2.390000
0.65,7,-92.980000,2.180000
0.65,7,-91.580000,1.660000
0.21,28,-60.270000,6.970000
0.21,28,-59.320000,8.250000
0.21,28,-59.100000,5.000000
0.21,28,-60.410000,3.870000
0.21,28,-58.980000,4.330000
0.30,4,-58.480000,6.290000
0.30,4,-58.790000,2.800000
0.30,4,-58.720000,3.840000
0.30,4,-59.210000,4.660000
0.30,4,-59.960000,3.810000
0.42,-2,-69.370000,7.670000
0.42,-2,-68.890000,8.040000
0.42,-2,-69.100000,7.590000
0.42,-2,-68.900000,7.470000
0.42,-2,-69.430000,7.620000
