0.17,17,7.340000
0.17,17,7.930000
0.17,17,7.870000
0.17,17,7.510000
0.17,17,6.720000
0.27,0,7.480000
0.27,0,2.710000
0.27,0,7.520000
0.27,0,7.600000
0.27,0,7.760000
0.43,2,4.340000
0.43,2,6.010000
0.43,2,7.180000
0.43,2,7.410000
0.43,2,7.700000
0.47,-1,7.390000
0.47,-1,6.720000
0.47,-1,6.590000
0.47,-1,7.230000
0.47,-1,7.050000
0.52,1,7.280000
0.52,1,5.780000
0.52,1,7.150000
0.52,1,6.770000
0.52,1,8.390000
0.59,1,7.350000
0.59,1,7.290000
0.59,1,7.460000
0.59,1,6.690000
0.59,1,6.840000
0.65,7,1.410000
0.65,7,1.370000
0.65,7,2.390000
0.65,7,2.180000
0.65,7,1.660000
0.21,28,6.970000
0.21,28,8.250000
0.21,28,5.000000
0.21,28,3.870000
0.21,28,4.330000
0.30,4,6.290000
0.30,4,2.800000
0.30,4,3.840000
0.30,4,4.660000
0.30,4,3.810000
0.42,-2,7.670000
0.42,-2,8.040000
0.42,-2,7.590000
0.42,-2,7.470000
0.42,-2,7.620000
