0.0892045,-52.950000
0.0892045,-52.100000
0.0892045,-51.900000
0.0892045,-49.260000
0.0892045,-53.700000
0.31,-60.130000
0.31,-57.820000
0.31,-59.450000
0.31,-57.420000
0.31,-57.530000
0.43,-65.600000
0.43,-72.630000
0.43,-70.640000
0.43,-71.310000
0.43,-71.880000
0.54,-69.470000
0.54,-70.220000
0.54,-69.730000
0.54,-66.460000
0.54,-65.670000
0.59,-69.130000
0.59,-71.230000
0.59,-69.900000
0.59,-71.540000
0.59,-66.480000
0.71,-65.490000
0.71,-65.410000
0.71,-64.320000
0.71,-64.970000
0.71,-65.390000
0.75,-72.300000
0.75,-66.980000
0.75,-69.630000
0.75,-66.670000
0.75,-68.120000
0.83,-67.260000
0.83,-63.920000
0.83,-68.630000
0.83,-70.520000
0.83,-69.250000
0.34,-60.610000
0.34,-60.180000
0.34,-60.440000
0.34,-58.520000
0.34,-57.800000
0.38,-59.970000
0.38,-63.160000
0.38,-62.790000
0.38,-64.950000
0.38,-65.150000
