0.0892045,7.610000
0.0892045,7.840000
0.0892045,7.420000
0.0892045,7.960000
0.0892045,7.960000
0.31,6.910000
0.31,7.600000
0.31,6.890000
0.31,7.210000
0.31,5.940000
0.43,7.610000
0.43,5.130000
0.43,6.350000
0.43,6.930000
0.43,7.270000
0.54,7.160000
0.54,4.950000
0.54,7.960000
0.54,7.310000
0.54,7.040000
0.59,7.500000
0.59,7.910000
0.59,11.270000
0.59,7.580000
0.59,7.220000
0.71,6.940000
0.71,6.040000
0.71,6.920000
0.71,6.440000
0.71,5.970000
0.75,6.890000
0.75,5.600000
0.75,4.850000
0.75,7.190000
0.75,7.100000
0.83,5.400000
0.83,7.230000
0.83,7.340000
0.83,7.250000
0.83,7.140000
0.34,6.520000
0.34,7.570000
0.34,8.250000
0.34,7.910000
0.34,7.530000
0.38,7.500000
0.38,3.080000
0.38,8.060000
0.38,7.850000
0.38,7.940000
